"","treat_assign","prob_shirt_st","prob_joke_st","prob_meeting_st","prob_vh_st","prob_pungwe_st","prob_testify_st"
"300","C",-0.638046737530063,0.262340711327859,0.337613531626619,-0.324568809249099,-0.361411059061081,-1.28501601879354
"302","C",0.498363036178398,0.262340711327859,0.337613531626619,-0.324568809249099,-0.361411059061081,-0.928253520973577
"303","TG",0.498363036178398,0.262340711327859,0.337613531626619,0.75732722158123,0.726220968207376,-1.28501601879354
"304","C",0.498363036178398,1.01188560083603,0.337613531626619,0.75732722158123,0.726220968207376,0.855558968126249
"306","C",0.498363036178398,-0.112431733426225,0.754742219350627,-0.324568809249099,-0.361411059061081,-0.214728525333647
"307","TG",-1.77445651123852,-0.861976622934394,-0.079515156097389,-0.685200819525875,-0.361411059061081,-1.28501601879354
"309","C",-1.77445651123852,-1.23674906768848,-1.33090121926941,-1.40646484007943,-1.44904308632954,-1.28501601879354
"310","C",-0.638046737530063,-1.23674906768848,-1.74802990699342,-1.40646484007943,-0.723955068150567,-0.928253520973577
"311","C",-1.01684999543288,-1.23674906768848,-0.496643843821397,-1.40646484007943,-1.44904308632954,-1.28501601879354
"313","C",-0.638046737530063,1.01188560083603,0.754742219350627,-0.324568809249099,-0.361411059061081,0.498796470306284
"314","TG",-0.638046737530063,0.262340711327859,0.754742219350627,-1.40646484007943,-1.44904308632954,-0.214728525333647
"315","C",-0.638046737530063,-0.112431733426225,-0.496643843821397,-0.324568809249099,-0.361411059061081,-0.214728525333647
"316","C",-0.259243479627243,-0.861976622934394,-1.74802990699342,-0.685200819525875,-0.361411059061081,0.142033972486319
"317","TG",0.119559778275578,-0.861976622934394,-1.74802990699342,-1.04583282980265,-1.08649907724005,0.498796470306284
"318","C",0.877166294081218,0.637113156081943,-0.496643843821397,0.75732722158123,1.45130898638635,0.142033972486319
"319","TG",-0.638046737530063,-0.112431733426225,0.337613531626619,-0.324568809249099,-0.361411059061081,-0.214728525333647
"320","C",-0.259243479627243,-0.112431733426225,-0.913772531545405,-0.324568809249099,-0.361411059061081,-0.214728525333647
